Relevance_Rank_WoS,UT (Unique WOS ID),Source,RefShortHand,MethodPlatform,MethodType,MethodReference,SelectedForDetailedConsideration,Comments
1,WOS:001475533500001,WoS,Di Mauro et al. 2025,custom (MATLAB),,,No,Not clear if available
2,WOS:001185505600028,WoS,Poeyhoenen et al. 2024,PAMGuard,Click detector,,Yes,
3,WOS:001255059400001,WoS,Miller et al. 2024,PAMGuard,LTSA & Click detector,Miller and Miller 2018,Yes,
5,WOS:001080095000006,WoS,Sigourney et al. 2023,PAMGuard,Click train detector?,,No,Few details provided
7,WOS:000629155900014,WoS,Barile et al. 2021,JASCO,custom energy-detector,Berrow et al. 2018,No,Not clear if available
10,WOS:000424223100001,WoS,Stanistreet et al. 2018,Triton (MATLAB),LSTA,Wiggins & Hildebrand 2007,Yes,
12,WOS:000487122600010,WoS,Merkens et al. 2019,,LTSA,Wiggins & Hildebrand 2007,Yes,
22,WOS:001164477200001,WoS,Westell et al. 2025,custom (MATLAB),Click detector,"Solsona-Berga et al. 2020, 2022",No,Not primary description
26,WOS:000481999500036,WoS,Giorli and Goetz 2019,custom (MATLAB),Click detector,,No,Not clear if available
27,WOS:000496843300001,WoS,Giorli and Goetz 2020,custom (MATLAB),Click detector,Giorli and Goetz 2019,No,Not primary description
47,WOS:001568688400001,WoS,Szesciorka et al. 2025,custom (MATLAB),Click detector,Giorli and Goetz 2019,No,Not primary description
49,WOS:001338506600003,WoS,Solsona-Berga et al. 2024,,,Solsona-Berga et al. 2022,No,Not primary description
50,WOS:001381032900001,WoS,Fonollosa et al. 2024,PAMGuard,Click detector,"Macaulay, 2020",Yes,
51,WOS:001362326600001,WoS,Constaratas et al. 2025,Triton (MATLAB),Click detector,,Yes,
52,WOS:001661809200001,WoS,Vieira et al. 2026,custom,Neural Network,Ferrari et al. 2020,No,Not primary description
53,WOS:001098227100001,WoS,Lerebourg et al. 2023,PAMGuard,Click detector,,No,Few details provided
54,WOS:000756804500003,WoS,Poupard et al. 2022,Custom workflow,,Best et al. 2020; Kandia and Stylianou 2006,No,Not clear if available
55,WOS:000712904800003,WoS,Barlow et al. 2021,PAMGuard,Click detector,,Yes,Multi-species
56,WOS:000691567800012,WoS,Rice et al. 2021a,Triton (MATLAB),LTSA,,Yes,Multi-species
58,WOS:000428994100022,WoS,Miller and Miller 2018,PAMGuard,Click detector,,Yes,
